Date,Bullish,Neutral,Bearish
12-16-93,0.33,0.38,0.29
12-23-93,0.36,0.31,0.33
12-30-93,0.44,0.28,0.28
1-6-94,0.40,0.33,0.27
1-13-94,0.38,0.31,0.31
1-20-94,0.48,0.26,0.26
1-27-94,0.41,0.25,0.34
2-3-94,0.38,0.29,0.33
2-10-94,0.49,0.27,0.24
2-17-94,0.40,0.36,0.24
2-24-94,0.41,0.30,0.29
3-3-94,0.31,0.42,0.27
3-10-94,0.29,0.34,0.37
3-17-94,0.24,0.41,0.35
3-24-94,0.29,0.37,0.34
3-31-94,0.23,0.33,0.44
4-7-94,0.28,0.31,0.41
4-14-94,0.29,0.23,0.48
4-21-94,0.26,0.41,0.33
4-28-94,0.27,0.35,0.38
5-5-94,0.32,0.32,0.36
5-12-94,0.38,0.32,0.30
5-19-94,0.22,0.36,0.42
5-26-94,0.29,0.33,0.38
6-2-94,0.39,0.36,0.25
6-9-94,0.28,0.47,0.25
6-16-94,0.32,0.42,0.26
6-23-94,0.29,0.45,0.26
6-30-94,0.32,0.37,0.31
7-7-94,0.28,0.32,0.40
7-14-94,0.25,0.40,0.35
7-21-94,0.34,0.38,0.28
7-28-94,0.27,0.42,0.31
8-4-94,0.22,0.52,0.26
8-11-94,0.34,0.37,0.29
8-18-94,0.30,0.40,0.30
8-25-94,0.32,0.39,0.29
9-1-94,0.43,0.34,0.23
9-8-94,0.47,0.33,0.20
9-15-94,0.45,0.25,0.30
9-22-94,0.37,0.36,0.27
9-29-94,0.38,0.32,0.30
10-6-94,0.33,0.39,0.28
10-13-94,0.35,0.39,0.26
10-20-94,0.39,0.33,0.28
10-27-94,0.43,0.38,0.19
11-3-94,0.40,0.35,0.25
11-10-94,0.37,0.31,0.32
11-17-94,0.39,0.22,0.39
11-23-94,0.39,0.32,0.29
11-30-94,0.44,0.30,0.26
12-8-94,0.30,0.35,0.35
12-15-94,0.33,0.35,0.32
12-22-94,0.42,0.25,0.33
12-29-94,0.40,0.43,0.17
1-5-95,0.44,0.31,0.25
1-12-95,0.36,0.42,0.22
1-19-95,0.37,0.39,0.24
1-26-95,0.38,0.37,0.25
2-2-95,0.38,0.37,0.25
2-9-95,0.34,0.43,0.23
2-16-95,0.43,0.37,0.20
2-23-95,0.46,0.37,0.17
3-2-95,0.53,0.26,0.21
3-9-95,0.48,0.34,0.18
3-16-95,0.39,0.41,0.20
3-23-95,0.47,0.30,0.23
3-30-95,0.52,0.23,0.25
4-6-95,0.42,0.25,0.33
4-13-95,0.40,0.23,0.37
4-20-95,0.37,0.27,0.36
4-27-95,0.52,0.29,0.19
5-4-95,0.42,0.27,0.31
5-11-95,0.44,0.26,0.30
5-18-95,0.42,0.23,0.35
5-25-95,0.44,0.26,0.30
6-1-95,0.39,0.34,0.27
6-8-95,0.44,0.25,0.31
6-15-95,0.36,0.31,0.33
6-22-95,0.48,0.21,0.31
6-29-95,0.35,0.28,0.37
7-6-95,0.35,0.34,0.31
7-13-95,0.44,0.18,0.38
7-20-95,0.43,0.30,0.27
7-27-95,0.41,0.26,0.33
8-3-95,0.38,0.34,0.28
8-10-95,0.40,0.30,0.30
8-17-95,0.36,0.43,0.21
8-24-95,0.35,0.28,0.37
8-31-95,0.38,0.42,0.20
9-7-95,0.37,0.36,0.27
9-14-95,0.46,0.32,0.22
9-21-95,0.46,0.25,0.29
9-28-95,0.42,0.27,0.31
10-5-95,0.39,0.37,0.24
10-12-95,0.41,0.30,0.29
10-19-95,0.47,0.32,0.21
10-26-95,0.46,0.33,0.21
11-2-95,0.47,0.34,0.19
11-9-95,0.49,0.35,0.16
11-16-95,0.46,0.31,0.23
11-22-95,0.48,0.18,0.34
11-30-95,0.51,0.30,0.19
12-7-95,0.48,0.28,0.24
12-14-95,0.51,0.23,0.26
12-21-95,0.48,0.28,0.24
12-28-95,0.46,0.34,0.20
1-4-96,0.55,0.18,0.27
1-11-96,#N/A,#N/A,#N/A
1-18-96,0.42,0.29,0.29
1-25-96,0.36,0.40,0.24
2-1-96,0.54,0.31,0.15
2-8-96,0.53,0.31,0.16
2-15-96,0.54,0.21,0.25
2-22-96,0.49,0.22,0.29
2-29-96,0.45,0.28,0.27
3-7-96,0.44,0.28,0.28
3-14-96,0.36,0.35,0.29
3-21-96,0.47,0.31,0.22
3-28-96,0.45,0.31,0.24
4-4-96,0.40,0.43,0.17
4-11-96,0.40,0.42,0.18
4-18-96,0.36,0.38,0.26
4-25-96,0.28,0.40,0.32
5-2-96,0.48,0.31,0.21
5-9-96,0.46,0.38,0.16
5-16-96,0.37,0.40,0.23
5-23-96,0.51,0.35,0.14
5-30-96,0.61,0.29,0.10
6-6-96,0.47,0.28,0.25
6-13-96,0.49,0.28,0.23
6-20-96,0.42,0.32,0.26
6-27-96,0.42,0.41,0.17
7-3-96,0.32,0.44,0.24
7-11-96,0.40,0.35,0.25
7-18-96,0.29,0.45,0.26
7-25-96,0.30,0.32,0.38
8-1-96,0.29,0.38,0.33
8-8-96,0.27,0.42,0.31
8-15-96,0.43,0.37,0.20
8-22-96,0.28,0.46,0.26
8-29-96,0.28,0.43,0.29
9-5-96,0.29,0.35,0.36
9-12-96,0.26,0.46,0.28
9-19-96,0.28,0.41,0.31
9-26-96,0.34,0.39,0.27
10-3-96,0.40,0.31,0.29
10-10-96,0.38,0.36,0.26
10-17-96,0.39,0.36,0.25
10-24-96,0.42,0.33,0.25
10-31-96,0.37,0.29,0.34
11-7-96,0.26,0.45,0.29
11-14-96,0.37,0.34,0.29
11-21-96,0.43,0.30,0.27
11-27-96,0.52,0.27,0.21
12-5-96,0.41,0.26,0.33
12-12-96,0.40,0.28,0.32
12-19-96,0.33,0.28,0.39
12-26-96,0.37,0.33,0.30
1-2-97,0.43,0.33,0.24
1-9-97,0.36,0.39,0.25
1-16-97,0.42,0.32,0.26
1-23-97,0.37,0.41,0.22
1-30-97,0.51,0.33,0.16
2-6-97,0.47,0.29,0.24
2-13-97,0.45,0.37,0.18
2-20-97,0.44,0.36,0.20
2-27-97,0.63,0.22,0.15
3-6-97,0.43,0.37,0.20
3-13-97,0.34,0.36,0.30
3-20-97,0.36,0.42,0.22
3-27-97,0.27,0.40,0.33
4-3-97,0.29,0.40,0.31
4-10-97,0.26,0.37,0.37
4-17-97,0.31,0.41,0.28
4-24-97,0.28,0.40,0.32
5-1-97,0.27,0.44,0.29
5-8-97,0.30,0.44,0.26
5-15-97,0.41,0.36,0.23
5-22-97,0.40,0.35,0.25
5-29-97,0.40,0.40,0.20
6-5-97,0.52,0.33,0.15
6-12-97,0.49,0.35,0.16
6-19-97,0.59,0.26,0.15
6-26-97,0.52,0.25,0.23
7-3-97,0.45,0.30,0.25
7-10-97,0.49,0.33,0.18
7-17-97,0.54,0.30,0.16
7-24-97,0.53,0.25,0.22
7-31-97,0.48,0.26,0.26
8-7-97,0.49,0.28,0.23
8-14-97,0.49,0.30,0.21
8-21-97,0.47,0.33,0.20
8-28-97,0.50,0.28,0.22
9-4-97,0.37,0.38,0.25
9-11-97,0.42,0.36,0.22
9-18-97,0.40,0.44,0.16
9-25-97,0.39,0.42,0.19
10-2-97,0.38,0.43,0.19
10-9-97,0.43,0.43,0.14
10-16-97,0.43,0.36,0.21
10-23-97,0.40,0.46,0.14
10-30-97,0.41,0.36,0.23
11-6-97,0.38,0.37,0.25
11-13-97,0.45,0.38,0.17
11-20-97,0.40,0.38,0.22
11-26-97,0.40,0.40,0.20
12-4-97,0.49,0.33,0.18
12-11-97,0.46,0.37,0.17
12-18-97,0.40,0.41,0.19
12-24-97,0.41,0.36,0.23
12-31-97,0.34,0.35,0.31
1-8-98,0.42,0.40,0.18
1-16-98,0.38,0.45,0.17
1-23-98,0.31,0.39,0.30
1-30-98,0.38,0.42,0.20
2-5-98,0.30,0.45,0.25
2-12-98,0.45,0.36,0.19
2-19-98,0.42,0.43,0.15
2-26-98,0.53,0.33,0.14
3-5-98,0.53,0.34,0.13
3-12-98,0.44,0.36,0.20
3-19-98,0.40,0.38,0.22
3-26-98,0.45,0.35,0.20
4-2-98,0.46,0.32,0.22
4-9-98,0.41,0.36,0.23
4-16-98,0.53,0.32,0.15
4-23-98,0.40,0.38,0.22
4-30-98,0.44,0.31,0.25
5-7-98,0.43,0.34,0.23
5-14-98,0.33,0.41,0.26
5-21-98,0.38,0.39,0.23
5-28-98,0.34,0.40,0.26
6-4-98,0.25,0.44,0.31
6-11-98,0.27,0.49,0.24
6-18-98,0.29,0.38,0.33
6-25-98,0.28,0.44,0.28
7-2-98,0.33,0.48,0.19
7-9-98,0.36,0.44,0.20
7-16-98,0.35,0.44,0.21
7-23-98,0.37,0.39,0.24
7-30-98,0.44,0.36,0.20
8-6-98,0.30,0.44,0.26
8-13-98,0.27,0.38,0.35
8-20-98,0.25,0.42,0.33
8-27-98,0.23,0.32,0.45
9-3-98,0.23,0.37,0.40
9-10-98,0.29,0.31,0.40
9-17-98,0.34,0.35,0.31
9-24-98,0.34,0.38,0.28
10-1-98,0.32,0.35,0.33
10-8-98,0.25,0.43,0.32
10-15-98,0.25,0.34,0.41
10-22-98,0.32,0.35,0.33
10-29-98,0.43,0.36,0.21
11-5-98,0.38,0.42,0.20
11-12-98,0.50,0.36,0.14
11-19-98,0.40,0.42,0.18
11-25-98,0.48,0.35,0.17
12-3-98,0.49,0.30,0.21
12-10-98,0.44,0.30,0.26
12-17-98,0.41,0.34,0.25
12-23-98,0.34,0.34,0.32
12-31-98,0.41,0.37,0.22
1-7-99,0.38,0.39,0.23
1-14-99,0.51,0.28,0.21
1-21-99,0.56,0.24,0.20
1-28-99,0.47,0.33,0.20
2-4-99,0.48,0.38,0.14
2-11-99,0.48,0.35,0.17
2-18-99,0.37,0.39,0.24
2-25-99,0.37,0.39,0.24
3-4-99,0.36,0.45,0.19
3-11-99,0.37,0.42,0.21
3-18-99,0.48,0.31,0.21
3-25-99,0.38,0.33,0.29
4-1-99,0.40,0.35,0.25
4-8-99,0.36,0.38,0.26
4-15-99,0.41,0.31,0.28
4-22-99,0.38,0.32,0.30
4-29-99,0.41,0.32,0.27
5-6-99,0.54,0.32,0.14
5-13-99,0.43,0.31,0.26
5-20-99,0.43,0.31,0.26
5-27-99,0.38,0.42,0.20
6-3-99,0.32,0.36,0.32
6-10-99,0.32,0.40,0.28
6-17-99,0.38,0.35,0.27
6-24-99,0.30,0.39,0.31
7-1-99,0.35,0.38,0.27
7-8-99,0.43,0.36,0.21
7-15-99,0.54,0.28,0.18
7-22-99,0.55,0.23,0.22
7-29-99,0.42,0.38,0.20
8-5-99,0.30,0.46,0.24
8-12-99,0.30,0.40,0.30
8-19-99,0.31,0.46,0.23
8-26-99,0.35,0.40,0.25
9-2-99,0.44,0.38,0.18
9-9-99,0.37,0.38,0.25
9-16-99,0.36,0.43,0.21
9-23-99,0.36,0.36,0.28
9-30-99,0.35,0.42,0.23
10-7-99,0.34,0.38,0.28
10-14-99,0.42,0.39,0.19
10-21-99,0.38,0.37,0.25
10-28-99,0.38,0.38,0.24
11-4-99,0.43,0.35,0.22
11-11-99,0.48,0.26,0.26
11-18-99,0.46,0.32,0.22
11-24-99,0.55,0.28,0.17
12-2-99,0.62,0.25,0.13
12-9-99,0.62,0.27,0.11
12-16-99,0.54,0.26,0.20
12-23-99,0.52,0.31,0.17
12-30-99,0.60,0.25,0.15
1-6-00,0.75,0.12,0.13
1-13-00,0.59,0.22,0.19
1-20-00,0.57,0.25,0.18
1-27-00,0.54,0.26,0.20
2-3-00,0.51,0.24,0.24
2-10-00,0.42,0.30,0.28
2-17-00,0.27,0.48,0.24
2-24-00,0.41,0.28,0.31
3-2-00,0.37,0.40,0.23
3-8-00,0.58,0.25,0.17
3-16-00,0.50,0.23,0.27
3-23-00,0.66,0.14,0.20
3-30-00,0.39,0.11,0.50
4-6-00,0.46,0.33,0.21
4-13-00,0.52,0.19,0.30
4-20-00,0.64,0.14,0.23
4-27-00,0.61,0.24,0.15
5-4-00,0.35,0.30,0.35
5-11-00,0.30,0.44,0.26
5-18-00,0.35,0.24,0.41
5-25-00,0.35,0.29,0.37
6-1-00,0.42,0.21,0.38
6-8-00,0.62,0.15,0.23
6-15-00,0.44,0.38,0.19
6-22-00,0.27,0.33,0.40
7-6-00,0.56,0.28,0.16
7-13-00,0.65,0.15,0.20
7-20-00,0.67,0.21,0.12
7-27-00,0.43,0.37,0.20
8-3-00,0.41,0.35,0.24
8-10-00,0.54,0.34,0.11
8-17-00,0.59,0.22,0.19
8-23-00,0.58,0.19,0.23
8-31-00,0.56,0.26,0.18
9-7-00,0.63,0.29,0.08
9-14-00,0.41,0.35,0.24
9-21-00,0.44,0.38,0.19
9-28-00,0.53,0.40,0.07
10-5-00,0.42,0.32,0.26
10-12-00,0.41,0.27,0.32
10-19-00,0.49,0.27,0.24
10-26-00,0.64,0.18,0.18
11-2-00,0.52,0.26,0.23
11-9-00,0.63,0.29,0.09
11-16-00,0.46,0.38,0.17
11-23-00,0.37,0.27,0.37
11-30-00,0.60,0.23,0.17
12-7-00,0.47,0.16,0.37
12-14-00,0.60,0.08,0.33
12-21-00,0.31,0.18,0.51
12-28-00,0.40,0.28,0.32
1-4-01,0.43,0.33,0.24
1-11-01,0.36,0.21,0.43
1-18-01,0.37,0.39,0.24
1-25-01,0.49,0.25,0.26
2-1-01,0.50,0.31,0.19
2-8-01,0.56,0.30,0.14
2-15-01,0.30,0.48,0.22
2-22-01,0.26,0.35,0.39
3-1-01,0.46,0.20,0.34
3-8-01,0.32,0.37,0.32
3-15-01,0.31,0.33,0.36
3-22-01,0.28,0.25,0.47
3-29-01,0.37,0.35,0.27
4-5-01,0.35,0.26,0.39
4-12-01,0.30,0.29,0.41
4-19-01,0.44,0.25,0.31
4-26-01,0.47,0.22,0.31
5-3-01,0.64,0.15,0.22
5-10-01,0.53,0.29,0.18
5-17-01,0.52,0.29,0.19
5-24-01,0.62,0.21,0.17
5-31-01,0.49,0.22,0.29
6-7-01,0.43,0.32,0.26
6-14-01,0.31,0.47,0.22
6-21-01,0.33,0.43,0.23
6-28-01,0.30,0.37,0.33
7-5-01,0.41,0.41,0.19
7-12-01,0.25,0.38,0.36
7-19-01,0.50,0.35,0.15
7-26-01,0.30,0.32,0.38
8-2-01,0.36,0.27,0.36
8-9-01,0.35,0.37,0.28
8-16-01,0.35,0.27,0.38
8-23-01,0.34,0.34,0.31
8-30-01,0.31,0.46,0.23
9-6-01,0.30,0.36,0.34
9-13-01,0.27,0.37,0.37
9-20-01,0.31,0.24,0.45
9-27-01,0.51,0.27,0.22
10-4-01,0.51,0.20,0.29
10-11-01,0.47,0.25,0.28
10-18-01,0.61,0.18,0.21
10-25-01,0.56,0.26,0.18
11-1-01,0.35,0.32,0.33
11-8-01,0.35,0.23,0.42
11-15-01,0.45,0.21,0.33
11-22-01,0.58,0.17,0.25
11-29-01,0.69,0.11,0.20
12-6-01,0.59,0.16,0.24
12-13-01,0.61,0.25,0.14
12-20-01,0.52,0.21,0.26
12-27-01,0.58,0.15,0.27
1-3-02,0.51,0.24,0.24
1-10-02,0.55,0.23,0.22
1-17-02,0.30,0.41,0.30
1-24-02,0.35,0.35,0.31
1-31-02,0.45,0.32,0.23
2-7-02,0.38,0.40,0.23
2-14-02,0.45,0.39,0.16
2-21-02,0.36,0.38,0.25
2-28-02,0.44,0.35,0.20
3-7-02,0.53,0.31,0.16
3-14-02,0.56,0.29,0.15
3-21-02,0.53,0.35,0.11
3-28-02,0.51,0.26,0.23
4-4-02,0.40,0.39,0.20
4-11-02,0.28,0.38,0.33
4-18-02,0.40,0.37,0.23
4-25-02,0.37,0.40,0.23
5-2-02,0.27,0.40,0.33
5-9-02,0.30,0.29,0.41
5-16-02,0.37,0.35,0.28
5-23-02,0.26,0.33,0.40
